"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,3,2,25926,NA
1972,1,NA,3,1,33333,NA
1972,1,NA,3,3,33333,NA
1972,1,NA,3,1,41667,NA
1972,1,NA,3,0,69444,NA
1972,1,NA,3,2,60185,NA
1972,1,NA,3,2,50926,NA
1972,1,NA,3,2,18519,NA
1972,2,NA,7,0,3704,NA
1972,2,NA,7,0,25926,NA
1972,2,NA,7,0,18519,NA
1972,2,NA,7,5,18519,NA
1972,2,NA,7,0,18519,NA
1972,2,NA,7,1,18519,NA
1972,2,NA,7,0,25926,NA
1972,2,NA,7,0,18519,NA
1972,1,NA,7,4,33333,NA
1972,1,NA,7,4,25926,NA
1972,1,NA,7,2,60185,NA
1972,1,NA,7,4,69444,NA
1972,1,NA,7,2,50926,NA
1972,1,NA,7,1,83333,NA
1972,1,NA,7,2,18519,NA
1972,1,NA,7,4,25926,NA
1972,1,NA,3,6,41667,NA
1972,1,NA,3,4,41667,NA
1972,1,NA,3,3,41667,NA
1972,1,NA,3,2,41667,NA
1972,1,NA,3,3,NA,NA
1972,1,NA,3,5,41667,NA
1972,1,NA,3,6,33333,NA
1972,1,NA,3,4,33333,NA
1972,1,NA,3,0,41667,NA
1972,1,NA,3,5,3704,NA
1972,1,NA,3,2,18519,NA
1972,1,NA,3,1,41667,NA
1972,1,NA,3,5,69444,NA
1972,1,NA,6,1,41667,NA
1972,1,NA,6,6,25926,NA
1972,1,NA,6,5,18519,NA
1972,1,NA,6,0,3704,NA
1972,1,NA,6,5,41667,NA
1972,1,NA,6,4,18519,NA
1972,1,NA,6,2,25926,NA
1972,1,NA,3,5,101852,NA
1972,1,NA,3,3,NA,NA
1972,1,NA,3,1,83333,NA
1972,1,NA,3,7,25926,NA
1972,1,NA,3,1,41667,NA
1972,1,NA,3,6,83333,NA
1972,1,NA,3,0,18519,NA
1972,1,NA,3,2,41667,NA
1972,1,NA,3,2,25926,NA
1972,1,NA,3,4,41667,NA
1972,1,NA,3,0,60185,NA
1972,1,NA,3,3,50926,NA
1972,1,NA,3,0,83333,NA
1972,1,NA,3,0,50926,NA
1972,1,NA,4,0,50926,NA
1972,1,NA,4,1,83333,NA
1972,1,NA,4,5,18519,NA
1972,1,NA,4,5,18519,NA
1972,1,NA,4,6,18519,NA
1972,1,NA,4,6,18519,NA
1972,1,NA,4,5,41667,NA
1972,1,NA,3,7,33333,NA
1972,1,NA,3,7,41667,NA
1972,1,NA,3,3,NA,NA
1972,1,NA,3,2,41667,NA
1972,1,NA,3,5,25926,NA
1972,1,NA,3,1,60185,NA
1972,1,NA,3,2,33333,NA
1972,1,NA,3,5,11111,NA
1972,1,NA,3,3,33333,NA
1972,1,NA,3,1,60185,NA
1972,1,NA,3,2,50926,NA
1972,1,NA,3,1,60185,NA
1972,1,NA,3,0,33333,NA
1972,1,NA,3,5,101852,NA
